name,timestamp,nsample,days_since_year,state_flow,state_mode,state_valve,state_user,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,p_onb_hPa,heat_4_C,heat_2_C,p_user_hPa,p_byp_hPa,temp_ext_C,temp_fan_C,p_samp_hPa,heat_1_C,heat_3_C,f_user_slpm,f_byp_slpm,f_dry_slpm,temp_back_C,vref_24,p_bot_psi,cvi_vflow,cvi_dilution,cvi_enhancement,cvi_dcut50,cvi_lwc,pic0_tbox,pic0_tcav,pic0_pcav,pic0_qh2o,pic0_deld,pic0_delo,pic0_qh2o_cal,pic0_deld_cal,pic0_delo_cal,pic1_tbox,pic1_tcav,pic1_pcav,pic1_qh2o,pic1_deld,pic1_delo,pic1_qh2o_cal,pic1_deld_cal,pic1_delo_cal,air_speed,air_pres,air_temp,air_latitude,air_longitude,iwg1_timestamp
WISPER,2018-10-02T15:32:35,1,1538494355,0,0,0,0,4.084,0.498,0.492,1.119,0.015,0.375,1.982,4.070,0.505,0.643,0.009,0.008,-0.000,1.870,4.042,6.608,1013.04,49.75,49.19,925.59,33.67,77.30,35.89,1010.07,50.48,64.33,0.00,0.00,0.00,38.42,24.25,7009.92,0.00,-99.00,-99.00,-99.00,-99.0000,-99.00,-99.00,-99.00,-99.00,-99.00,-99.00,0.00,0.00,0.00,-99.00,-99.00,-99.00,-99.00,-99.00,-99.00,0.00,0.00,0.00,-99.00,-99.00,-99.00,0.000,0.000,9999-99-99T99:99:99
WISPER,2018-10-02T15:32:36,2,1538494356,0,0,0,0,4.083,0.496,0.492,1.119,0.015,0.376,1.982,4.070,0.506,0.642,0.009,0.008,-0.000,1.870,4.042,7.043,1012.84,49.59,49.16,925.69,33.42,77.29,35.89,1009.93,50.64,64.23,0.00,0.00,0.00,38.42,24.25,7553.90,0.00,-99.00,-99.00,-99.00,-99.0000,-99.00,-99.00,-99.00,-99.00,-99.00,-99.00,0.00,0.00,0.00,-99.00,-99.00,-99.00,-99.00,-99.00,-99.00,0.00,0.00,0.00,-99.00,-99.00,-99.00,0.000,0.000,9999-99-99T99:99:99
WISPER,2018-10-02T15:32:37,3,1538494357,0,0,0,0,4.079,0.496,0.492,1.119,0.015,0.376,1.982,4.069,0.508,0.643,0.009,0.008,-0.000,1.870,4.042,7.530,1012.11,49.64,49.18,925.84,33.25,77.28,35.89,1009.88,50.79,64.27,0.00,0.00,0.00,38.42,24.25,8162.53,0.00,-99.00,-99.00,-99.00,-99.0000,-99.00,-99.00,-99.00,-99.00,-99.00,-99.00,0.00,0.00,0.00,-99.00,-99.00,-99.00,-99.00,-99.00,-99.00,0.00,0.00,0.00,-99.00,-99.00,-99.00,0.000,0.000,9999-99-99T99:99:99
WISPER,2018-10-02T15:32:38,4,1538494358,0,0,0,0,4.072,0.494,0.491,1.119,0.014,0.376,1.983,4.069,0.508,0.642,0.009,0.008,-0.000,1.871,4.042,7.650,1010.51,49.45,49.14,925.95,29.88,77.26,35.86,1009.88,50.85,64.21,0.00,0.00,0.00,38.39,24.25,8312.88,0.00,-99.00,-99.00,-99.00,-99.0000,-99.00,-99.00,-99.00,-99.00,-99.00,-99.00,0.00,0.00,0.00,-99.00,-99.00,-99.00,-99.00,-99.00,-99.00,0.00,0.00,0.00,-99.00,-99.00,-99.00,0.000,0.000,9999-99-99T99:99:99
WISPER,2018-10-02T15:32:39,5,1538494359,0,0,0,0,4.072,0.496,0.492,1.119,0.015,0.377,1.983,4.070,0.507,0.642,0.009,0.008,-0.000,1.870,4.042,7.706,1010.43,49.63,49.18,926.05,33.33,77.25,35.88,1009.99,50.75,64.22,0.00,0.00,0.00,38.42,24.25,8381.98,0.00,-99.00,-99.00,-99.00,-99.0000,-99.00,-99.00,-99.00,-99.00,-99.00,-99.00,0.00,0.00,0.00,-99.00,-99.00,-99.00,-99.00,-99.00,-99.00,0.00,0.00,0.00,-99.00,-99.00,-99.00,0.000,0.000,9999-99-99T99:99:99
WISPER,2018-10-02T15:32:40,6,1538494360,0,0,0,0,4.072,0.496,0.492,1.119,0.015,0.377,1.983,4.070,0.506,0.642,0.008,0.008,-0.000,1.870,4.042,7.794,1010.47,49.61,49.17,926.08,32.90,77.24,35.88,1009.98,50.61,64.21,0.00,0.00,0.00,38.41,24.25,8491.98,0.00,-99.00,-99.00,-99.00,-99.0000,-99.00,-99.00,-99.00,-99.00,-99.00,-99.00,0.00,0.00,0.00,-99.00,-99.00,-99.00,-99.00,-99.00,-99.00,0.00,0.00,0.00,-99.00,-99.00,-99.00,0.000,0.000,9999-99-99T99:99:99
WISPER,2018-10-02T15:32:41,7,1538494361,0,0,0,0,4.072,0.496,0.492,1.120,0.015,0.377,1.983,4.070,0.506,0.643,0.008,0.008,-0.000,1.870,4.042,7.499,1010.41,49.58,49.22,926.47,33.16,77.23,35.88,1010.00,50.60,64.26,0.00,0.00,0.00,38.41,24.25,8124.01,0.00,-99.00,-99.00,-99.00,-99.0000,-99.00,-99.00,-99.00,-99.00,-99.00,-99.00,0.00,0.00,0.00,-99.00,-99.00,-99.00,-99.00,-99.00,-99.00,0.00,0.00,0.00,-99.00,-99.00,-99.00,0.000,0.000,9999-99-99T99:99:99
WISPER,2018-10-02T15:32:42,8,1538494362,0,0,0,0,4.073,0.494,0.492,1.120,0.011,0.378,1.985,4.071,0.507,0.643,0.008,0.008,-0.000,1.873,4.041,7.488,1010.66,49.39,49.24,926.51,24.84,77.21,35.82,1010.19,50.67,64.31,0.00,0.00,0.00,38.34,24.25,8109.51,0.00,-99.00,-99.00,-99.00,-99.0000,-99.00,-99.00,-99.00,-99.00,-99.00,-99.00,0.00,0.00,0.00,-99.00,-99.00,-99.00,-99.00,-99.00,-99.00,0.00,0.00,0.00,-99.00,-99.00,-99.00,0.000,0.000,9999-99-99T99:99:99
WISPER,2018-10-02T15:32:43,9,1538494363,0,0,0,0,4.073,0.494,0.492,1.120,0.013,0.379,1.984,4.070,0.506,0.643,0.008,0.008,-0.000,1.872,4.041,7.611,1010.64,49.41,49.23,926.69,28.30,77.20,35.84,1010.11,50.60,64.34,0.00,0.00,0.00,38.37,24.25,8264.22,0.00,-99.00,-99.00,-99.00,-99.0000,-99.00,-99.00,-99.00,-99.00,-99.00,-99.00,0.00,0.00,0.00,-99.00,-99.00,-99.00,-99.00,-99.00,-99.00,0.00,0.00,0.00,-99.00,-99.00,-99.00,0.000,0.000,9999-99-99T99:99:99
WISPER,2018-10-02T15:32:44,10,1538494364,0,0,0,0,4.072,0.495,0.491,1.120,0.015,0.379,1.983,4.070,0.506,0.642,0.008,0.008,-0.000,1.870,4.042,7.801,1010.34,49.51,49.12,926.76,33.37,77.19,35.87,1009.95,50.57,64.20,0.00,0.00,0.00,38.42,24.25,8500.67,0.00,-99.00,-99.00,-99.00,-99.0000,-99.00,-99.00,-99.00,-99.00,-99.00,-99.00,0.00,0.00,0.00,-99.00,-99.00,-99.00,-99.00,-99.00,-99.00,0.00,0.00,0.00,-99.00,-99.00,-99.00,0.000,0.000,9999-99-99T99:99:99
