date,h2o_ppmv,d18O_permil,d18O*_permil,dD_permil,dD*_permil
8/16/2017,14958.95036,-18.78120192,0.071538722,-129.4309024,-0.738296167
8/16/2017,16048.76153,-18.83617101,0.006841085,-129.3294121,-0.221130844
8/16/2017,13330.27683,-18.81725402,0.02575807,-129.7101563,-0.601875127
8/16/2017,10971.62652,-18.83530639,0.007705709,-130.0968059,-0.988524725
8/16/2017,8558.402278,-18.7966341,0.046377996,-130.1191094,-1.010828226
8/16/2017,6206.060863,-18.91489338,-0.071881281,-130.8851069,-1.776825732
8/16/2017,4578.475447,-19.01477818,-0.171766088,-131.5491066,-2.440825379
8/16/2017,3399.711989,-19.26891486,-0.435631314,-132.6863506,-3.162394432
8/16/2017,2708.848841,-19.42786779,-0.60431279,-132.2125439,-2.272912874
8/23/2017,17751.18725,-20.23697997,0,-146.6366066,0
8/23/2017,15110.53194,-20.38384826,-0.14686829,-148.0567195,-1.420112904
8/23/2017,13042.14096,-20.53463121,-0.297651235,-149.1830369,-2.54643034
8/23/2017,10338.6971,-20.75650136,-0.519521389,-150.1448679,-3.508261271
8/23/2017,7531.325079,-20.91223897,-0.675258994,-151.3352501,-4.698643548
8/23/2017,5798.757031,-20.91248603,-0.675506059,-152.4541674,-5.817560827
8/23/2017,4430.12018,-21.0583602,-0.821380226,-154.2726201,-7.636013462
8/23/2017,3066.713831,-21.338976,-1.101996027,-155.6755128,-9.038906246
8/23/2017,2314.019643,-21.83459814,-1.597618166,-156.2980305,-9.661423908
8/23/2017,1694.960569,-22.28541817,-2.048438198,-160.9661318,-14.32952522
8/25/2017,17706.46107,-23.00486952,0,-163.2849764,0
8/25/2017,14915.79152,-23.10120639,-0.09633687,-164.484284,-1.199307513
8/25/2017,12745.24784,-22.98504765,0.019821873,-164.0847327,-0.799756249
8/25/2017,9896.335597,-22.9889668,0.01590272,-164.3566623,-1.071685887
8/25/2017,6911.620328,-22.86992896,0.134940563,-164.0189365,-0.733960062
8/25/2017,5140.201562,-22.92852864,0.076340887,-164.8913609,-1.606384499
8/25/2017,3709.268997,-22.9278541,0.07701542,-164.3393653,-1.054388831
8/25/2017,2269.416014,-23.41931196,-0.414442438,-163.0783725,0.206603928
8/25/2017,1461.352792,-24.32594558,-1.321076059,-165.4754014,-2.190424968
8/25/2017,805.0960099,-25.71258628,-2.707716761,-168.5186126,-5.23363618
8/25/2017,1426.138938,-24.49170527,-1.48683575,-167.2820268,-3.997050321
8/25/2017,2199.031582,-23.80895781,-0.804088289,-164.0453395,-0.760363086
8/25/2017,3645.971053,-23.34791024,-0.343040712,-165.4455853,-2.160608892
8/25/2017,5054.878893,-23.22946587,-0.224596342,-165.0728134,-1.787836988
8/25/2017,6820.783697,-23.09881151,-0.093941982,-164.3795552,-1.094578783
8/25/2017,9793.201925,-22.98434788,0.020521643,-163.9113015,-0.626325099
8/25/2017,12636.4749,-22.91656261,0.088306917,-163.5813643,-0.296387845
8/25/2017,14827.51964,-23.0287377,-0.023868172,-163.9306582,-0.64568179
8/25/2017,17650.03655,-23.115088,-0.110218481,-163.5155359,-0.230559454
8/25/2017,14863.94776,-23.0479999,-0.043130376,-163.3466258,-0.061649337
8/25/2017,12671.84586,-23.02537945,-0.020509926,-163.4666007,-0.181624287
8/25/2017,9827.268543,-22.98288379,0.021985734,-164.0583682,-0.773391764
