date,profile,start_utcsecs,end_utcsecs
20160831,1,28476.0,30287.0
20160831,2,30406.0,31686.0
20160831,3,32125.0,36232.0
20160831,4,36351.0,37567.0
20160831,5,38143.0,41582.0
20160831,6,41582.0,42671.0
20160831,7,45076.0,46704.0
20160831,8,47673.0,49484.0
20160831,9,50088.0,52292.0
20160831,10,55795.0,56755.0
20160902,1,25298.0,26250.0
20160902,2,29488.0,30284.0
20160902,3,31277.0,32239.0
20160902,4,32384.0,33088.0
20160902,5,33449.0,35539.0
20160902,6,36812.0,37702.0
20160902,7,39077.0,40184.0
20160902,8,41922.0,42760.0
20160902,9,43898.0,45574.0
20160902,10,45574.0,47157.0
20160902,11,47157.0,48098.0
20160902,12,48098.0,49081.0
20160902,13,52795.0,53891.0
20160904,1,27369.0,28310.0
20160904,2,31779.0,34100.0
20160904,3,34380.0,35675.0
20160904,4,35712.0,39572.0
20160904,5,40158.0,40903.0
20160904,6,42894.0,43712.0
20160904,7,47592.0,48804.0
20160904,8,53704.0,55402.0
20160910,1,27066.0,28751.0
20160910,2,30574.0,31623.0
20160910,3,33640.0,34036.0
20160910,4,34038.0,35130.0
20160910,5,35130.0,36635.0
20160910,6,38329.0,38585.0
20160910,7,38715.0,41208.0
20160910,8,41681.0,42739.0
20160910,9,46453.0,48172.0
20160910,10,53201.0,55488.0
20160912,1,27064.0,28676.0
20160912,2,39564.0,40924.0
20160912,3,44490.0,45738.0
20160912,4,45738.0,48195.0
20160912,5,50967.0,52253.0
20160912,6,54836.0,56612.0
20160914,1,28758.0,29537.0
20160914,2,31254.0,34739.0
20160914,3,35121.0,36384.0
20160914,4,36384.0,39421.0
20160914,5,39400.0,41341.0
20160914,6,41600.0,42084.0
20160914,7,42199.0,42704.0
20160914,8,43628.0,44075.0
20160914,9,46651.0,48108.0
20160914,10,48815.0,51297.0
20160914,11,51297.0,52055.0
20160914,12,55929.0,57278.0
20160918,1,25454.0,26417.0
20160918,2,33267.0,35003.0
20160918,3,37169.0,37345.0
20160918,4,38330.0,38667.0
20160918,5,40749.0,42176.0
20160918,6,52998.0,54194.0
20160920,1,25066.0,25863.0
20160920,2,26764.0,27004.0
20160920,3,30419.0,31657.0
20160920,4,31992.0,32942.0
20160920,5,32942.0,33719.0
20160920,6,34669.0,34793.0
20160920,7,35810.0,37815.0
20160920,8,38717.0,39494.0
20160920,9,42746.0,44290.0
20160920,10,44674.0,46698.0
20160920,11,47408.0,47581.0
20160920,12,48329.0,49298.0
20160920,13,52128.0,53941.0
20160925,1,28647.0,31620.0
20160925,2,38503.0,39903.0
20160925,3,40521.0,41380.0
20160925,4,41863.0,43253.0
20160925,5,46111.0,46390.0
20160925,6,47732.0,48843.0
20160925,7,49142.0,53824.0
20160925,8,53824.0,55098.0
20160925,9,55243.0,56160.0
20160925,10,57155.0,59732.0
20170812,1,29526.0,31303.0
20170812,2,40078.0,41766.0
20170812,3,42126.0,45635.0
20170812,4,46513.0,47750.0
20170812,5,48110.0,51283.0
20170812,6,52228.0,53465.0
20170812,7,54793.0,56953.0
20170812,8,58145.0,59653.0
20170813,1,28507.0,30282.0
20170813,2,35969.0,37257.0
20170813,3,45789.0,48535.0
